                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.53651,                0.35959,                 1.0147,                0.94469,                0.95729,                0.96715,                0.83661,                0.46415,                0.29506,                 1.0133,               0.005149,               0.005149,               0.005149
                     52,                0.54308,                 0.3664,                  1.023,                0.91686,                0.96157,                0.96114,                0.82476,                0.46616,                0.29633,                 1.0118,                0.00505,                0.00505,                0.00505
                     53,                0.54132,                0.36249,                 1.0254,                0.94534,                0.95468,                0.96601,                0.82704,                0.46287,                0.28728,                 1.0129,               0.004951,               0.004951,               0.004951
                     54,                0.53537,                0.36274,                 1.0136,                0.92052,                0.97295,                0.96699,                 0.8243,                0.46444,                0.29034,                 1.0105,               0.004852,               0.004852,               0.004852
                     55,                0.52928,                0.35552,                 1.0134,                0.93149,                 0.9664,                0.96293,                0.82097,                0.45971,                0.28472,                 1.0088,               0.004753,               0.004753,               0.004753
                     56,                 0.5338,                0.35472,                 1.0187,                0.94543,                0.95658,                0.96234,                 0.8238,                0.45873,                0.28458,                 1.0099,               0.004654,               0.004654,               0.004654
                     57,                0.52698,                0.34829,                 1.0077,                0.93841,                0.95548,                0.96022,                0.83286,                0.45592,                0.28945,                  1.005,               0.004555,               0.004555,               0.004555
                     58,                0.52871,                0.35687,                 1.0127,                0.95005,                0.95526,                0.96499,                 0.8353,                0.45844,                0.28753,                 1.0062,               0.004456,               0.004456,               0.004456
                     59,                 0.5251,                0.34608,                  1.012,                0.93858,                0.95397,                0.95884,                0.82647,                0.45989,                0.28527,                 1.0074,               0.004357,               0.004357,               0.004357
                     60,                 0.5222,                0.34427,                 1.0074,                0.92187,                0.95587,                 0.9522,                0.82423,                0.45893,                0.28783,                 1.0066,               0.004258,               0.004258,               0.004258
                     61,                0.51474,                0.33728,                 1.0036,                0.92971,                0.95549,                0.95926,                0.83045,                0.46251,                 0.2869,                  1.009,               0.004159,               0.004159,               0.004159
                     62,                0.52452,                0.34748,                 1.0106,                0.93616,                0.96186,                0.95767,                0.82795,                0.46046,                0.28331,                 1.0095,                0.00406,                0.00406,                0.00406
                     63,                0.51922,                0.34398,                 1.0092,                0.93613,                0.95831,                0.95395,                0.83186,                0.46019,                0.28294,                  1.009,               0.003961,               0.003961,               0.003961
                     64,                0.52343,                0.34239,                 1.0127,                0.92327,                 0.9706,                0.96253,                0.83179,                0.45668,                0.28377,                 1.0048,               0.003862,               0.003862,               0.003862
                     65,                0.51961,                0.34146,                 1.0107,                0.92315,                0.96745,                0.95818,                 0.8309,                0.45308,                0.28216,                 1.0028,               0.003763,               0.003763,               0.003763
                     66,                0.51025,                0.33828,                 1.0002,                0.93439,                0.96644,                0.96457,                0.83019,                0.45413,                0.28306,                 1.0037,               0.003664,               0.003664,               0.003664
                     67,                0.50659,                 0.3311,                0.99905,                0.92981,                0.95676,                0.95598,                0.83128,                0.45588,                0.28452,                 1.0026,               0.003565,               0.003565,               0.003565
                     68,                0.50596,                0.33193,                0.99842,                0.93136,                0.95994,                0.96247,                 0.8336,                0.45272,                0.28685,                  1.002,               0.003466,               0.003466,               0.003466
                     69,                0.51087,                0.33043,                 1.0041,                0.94413,                0.94755,                0.96531,                0.83673,                0.45135,                 0.2832,                 1.0009,               0.003367,               0.003367,               0.003367
                     70,                0.50894,                0.32654,                0.99987,                0.94238,                0.94703,                0.95745,                0.82877,                 0.4509,                0.28283,                 1.0004,               0.003268,               0.003268,               0.003268
                     71,                0.50184,                0.32303,                0.99845,                0.94073,                0.94864,                0.95921,                0.83328,                0.44841,                0.27814,                0.99934,               0.003169,               0.003169,               0.003169
                     72,                0.50442,                0.32647,                0.99952,                0.93255,                0.95834,                0.95756,                0.83211,                0.44647,                0.27826,                0.99764,                0.00307,                0.00307,                0.00307
                     73,                0.49469,                0.31932,                0.99008,                 0.9433,                0.95846,                0.96674,                   0.84,                0.44724,                0.27881,                0.99762,               0.002971,               0.002971,               0.002971
                     74,                0.49678,                0.31677,                0.99271,                0.94308,                0.95688,                0.96803,                0.84263,                0.44691,                0.27784,                0.99768,               0.002872,               0.002872,               0.002872
                     75,                 0.4973,                0.31737,                0.99168,                0.93947,                0.96543,                0.96897,                0.84613,                0.44599,                0.27519,                 0.9974,               0.002773,               0.002773,               0.002773
                     76,                0.49971,                0.32479,                0.99767,                0.94292,                0.96005,                0.96916,                0.84822,                 0.4454,                0.27407,                0.99643,               0.002674,               0.002674,               0.002674
                     77,                0.48842,                0.31097,                0.98412,                0.94553,                0.95808,                0.96871,                0.84788,                0.44483,                0.27267,                0.99693,               0.002575,               0.002575,               0.002575
                     78,                0.49444,                0.31433,                0.99336,                0.93274,                 0.9577,                0.96593,                0.84829,                0.44479,                0.27592,                0.99668,               0.002476,               0.002476,               0.002476
                     79,                0.49067,                0.30658,                0.98883,                0.92968,                0.95572,                0.96401,                0.84526,                0.44468,                0.27635,                0.99673,               0.002377,               0.002377,               0.002377
                     80,                0.48288,                0.30465,                0.98097,                 0.9323,                0.95572,                0.96357,                0.84411,                0.44606,                0.27563,                 0.9974,               0.002278,               0.002278,               0.002278
                     81,                0.48671,                0.30995,                0.98576,                0.93808,                0.94814,                0.96301,                0.84041,                0.44726,                 0.2761,                 0.9976,               0.002179,               0.002179,               0.002179
                     82,                0.48315,                0.30662,                0.98117,                0.94042,                0.94771,                0.96238,                0.84162,                0.44724,                0.27567,                0.99769,                0.00208,                0.00208,                0.00208
                     83,                0.47865,                0.30223,                0.97979,                 0.9403,                0.94744,                0.96429,                0.84371,                0.44711,                0.27755,                0.99801,               0.001981,               0.001981,               0.001981
                     84,                0.47765,                0.30128,                0.97992,                 0.9347,                0.95673,                0.96459,                0.84384,                0.44649,                0.27614,                0.99732,               0.001882,               0.001882,               0.001882
                     85,                0.47983,                0.30346,                 0.9826,                0.93574,                0.95592,                0.96483,                0.84472,                0.44565,                0.27466,                0.99654,               0.001783,               0.001783,               0.001783
                     86,                0.47684,                0.30066,                0.98417,                0.93789,                  0.948,                 0.9646,                0.84739,                0.44436,                0.27537,                0.99582,               0.001684,               0.001684,               0.001684
                     87,                0.47398,                0.29849,                0.98038,                0.93947,                0.94897,                0.96361,                0.84666,                0.44409,                 0.2748,                0.99551,               0.001585,               0.001585,               0.001585
                     88,                 0.4717,                0.29549,                0.97783,                0.94236,                0.95429,                 0.9635,                0.84754,                 0.4435,                0.27362,                0.99505,               0.001486,               0.001486,               0.001486
                     89,                0.46834,                0.30003,                0.98075,                0.94248,                0.95491,                0.96406,                0.85084,                0.44242,                0.27288,                0.99416,               0.001387,               0.001387,               0.001387
                     90,                0.46842,                0.29193,                0.97349,                0.93909,                0.95441,                0.96311,                0.85149,                0.44189,                0.27273,                0.99385,               0.001288,               0.001288,               0.001288
                     91,                0.41248,                0.24531,                0.96346,                0.93842,                0.95263,                0.96327,                0.85274,                 0.4415,                0.27076,                0.99349,               0.001189,               0.001189,               0.001189
                     92,                0.40951,                0.24328,                0.96253,                0.93582,                0.94987,                0.96298,                0.85366,                0.44063,                0.27003,                0.99303,                0.00109,                0.00109,                0.00109
                     93,                0.40392,                0.23721,                 0.9564,                0.93615,                0.94994,                0.96248,                0.85235,                0.44054,                0.26997,                 0.9928,               0.000991,               0.000991,               0.000991
                     94,                0.40053,                0.23868,                0.95397,                0.93154,                 0.9584,                0.96246,                0.85232,                0.44069,                 0.2689,                0.99243,               0.000892,               0.000892,               0.000892
                     95,                0.40038,                 0.2354,                0.95593,                0.93318,                 0.9584,                0.96266,                0.85316,                0.44038,                0.26817,                0.99264,               0.000793,               0.000793,               0.000793
                     96,                0.39497,                0.23402,                0.95261,                0.93021,                 0.9584,                0.96246,                 0.8533,                0.44015,                0.26859,                0.99235,               0.000694,               0.000694,               0.000694
                     97,                0.39237,                0.22969,                0.95043,                0.93072,                 0.9485,                0.96292,                0.85059,                 0.4394,                0.26845,                0.99176,               0.000595,               0.000595,               0.000595
                     98,                0.39059,                0.22852,                0.94935,                0.93525,                0.94939,                0.96326,                0.85056,                0.43954,                0.26811,                0.99221,               0.000496,               0.000496,               0.000496
                     99,                0.38629,                0.22347,                0.94816,                0.93919,                0.94555,                0.96268,                0.84985,                0.43947,                0.26831,                0.99212,               0.000397,               0.000397,               0.000397
                    100,                0.38531,                0.22577,                 0.9518,                0.93947,                0.94546,                0.96255,                0.85012,                0.43934,                0.26762,                0.99186,               0.000298,               0.000298,               0.000298
